"","Chagar Hutang-20260502","Chagar Hutang-20260503","Chagar Hutang-20260504","Chagar Hutang-20260505","Chagar Hutang-20260506","Chagar Hutang-20260507","Kerachut_20260412","Kerachut _20260413","Kerachut_20260414","Kerachut_20260415","Kerachut_20260416","Kerachut_20260417","Kerachut_20260418","USM_20260121","USM_20260122","USM_20260123","USM_20260124","USM_20260125","USM_20260126","USM_FullMoon_20260401","USM_FullMoon_20260402"
"Chagar Hutang-20260502","0","0.01067368073574456","0.015139803149560175","0.04318353477167748","0.015049221171088487","0.04193551199871953","0.054250726941190756","0.06402512866440234","0.07398850708387124","0.04589620141552435","0.05436733726780517","0.07612727928740542","0.06721933135921956","0.050141050361006294","0.06503746215173638","0.06774685224881986","0.053457121965800866","0.0599265415271675","0.04699133717239468","0.032472587662791014","0.062110971314918356"
"Chagar Hutang-20260503","0.01067368073574456","0","0.01811063738520471","0.04576815120714113","0.011658149485051356","0.047886498928140245","0.05516936981149574","0.06273781463514105","0.0733285752608823","0.04708537638781737","0.05375643539584147","0.07707428901815293","0.06649202074971687","0.04812598709734853","0.0646685842294304","0.06751540342394495","0.0507440759486029","0.05775448485487064","0.04449684546275661","0.030725442531698278","0.059052802052419806"
"Chagar Hutang-20260504","0.015139803149560175","0.01811063738520471","0","0.04685817044548991","0.017449837467661194","0.047832225180895076","0.04213905825145742","0.05095931867603364","0.062363407683487734","0.035117118683105866","0.050118983510566005","0.06286577060531359","0.053216285677360364","0.04913435342616083","0.06043881642620959","0.06536215409541292","0.04493920696710699","0.054609348251353496","0.04152743470928243","0.032382258801192075","0.0515072238684018"
"Chagar Hutang-20260505","0.04318353477167748","0.04576815120714113","0.04685817044548991","0","0.0567152613874738","0.02247524720478637","0.05903760926483141","0.05236433716498834","0.07034901256683412","0.06810868168442955","0.09652042416135262","0.07837542783384369","0.06456100808259974","0.09250724198169415","0.107273646593432","0.11076353662936635","0.08822201167369527","0.09788837595565729","0.08377173773914996","0.07145962103654543","0.049645500863430884"
"Chagar Hutang-20260506","0.015049221171088487","0.011658149485051356","0.017449837467661194","0.0567152613874738","0","0.05473654852639599","0.04255127179811774","0.0573911226332814","0.060953754212977405","0.034695658513555515","0.04002406299777538","0.0657301082501696","0.055809088638569815","0.03683843266385395","0.05083402430584188","0.054116464384706534","0.03807906146078085","0.044351634866010126","0.03279195745715394","0.019837396200122537","0.05431467777052162"
"Chagar Hutang-20260507","0.04193551199871953","0.047886498928140245","0.047832225180895076","0.02247524720478637","0.05473654852639599","0","0.06338878300411047","0.07193726455497522","0.07690770070360527","0.06793493574982028","0.0950570985394524","0.07985071238334886","0.07004740679721079","0.09041795793514708","0.10613566386371973","0.10903178694954904","0.09089160247507017","0.1006216950646676","0.08471591189553854","0.06820964474874275","0.06351292777510938"
"Kerachut_20260412","0.054250726941190756","0.05516936981149574","0.04213905825145742","0.05903760926483141","0.04255127179811774","0.06338878300411047","0","0.04019916112908628","0.026602379665890075","0.018611081905441033","0.04289255055569036","0.022512335329524798","0.01867660549402116","0.04325856146924633","0.05331187118013004","0.05757810121425074","0.044292604388845025","0.05090990707695987","0.03690677080897652","0.02954743130362847","0.033066935692716"
"Kerachut _20260413","0.06402512866440234","0.06273781463514105","0.05095931867603364","0.05236433716498834","0.0573911226332814","0.07193726455497522","0.04019916112908628","0","0.04025169774888455","0.051521732808655504","0.07809971969984887","0.04631186860531947","0.03747661761114411","0.08044518852325165","0.09012043141290292","0.09664000665794316","0.06258003257177377","0.07676310752389051","0.07107898281980199","0.06443581379578166","0.026988220670651684"
"Kerachut_20260414","0.07398850708387124","0.0733285752608823","0.062363407683487734","0.07034901256683412","0.060953754212977405","0.07690770070360527","0.026602379665890075","0.04025169774888455","0","0.032289911043473236","0.056128600700956134","0.014585693448154715","0.009112981790349976","0.056190470428047964","0.06699312219784967","0.07291895335605178","0.044804389025421706","0.053518308760967026","0.04799509017658099","0.041431869462745886","0.026688868732252544"
"Kerachut_20260415","0.04589620141552435","0.04708537638781737","0.035117118683105866","0.06810868168442955","0.034695658513555515","0.06793493574982028","0.018611081905441033","0.051521732808655504","0.032289911043473236","0","0.034361038120021684","0.030443213690224975","0.026511245918191012","0.028042447824240466","0.044671474178872836","0.04648206354635432","0.02887438933297193","0.037239434354670004","0.023454863572065998","0.016716451024552322","0.04680848958279427"
"Kerachut_20260416","0.05436733726780517","0.05375643539584147","0.050118983510566005","0.09652042416135262","0.04002406299777538","0.0950570985394524","0.04289255055569036","0.07809971969984887","0.056128600700956134","0.034361038120021684","0","0.05453835643864512","0.05103719705080124","0.012361678786325934","0.012898518485378228","0.01908318169749318","0.018168562549179177","0.015266011339916641","0.01387560227633538","0.0270485012755321","0.07630680439299231"
"Kerachut_20260417","0.07612727928740542","0.07707428901815293","0.06286577060531359","0.07837542783384369","0.0657301082501696","0.07985071238334886","0.022512335329524798","0.04631186860531947","0.014585693448154715","0.030443213690224975","0.05453835643864512","0","0.016781699707588228","0.054392284392174965","0.061189444007791256","0.06542617304182115","0.0504589694321264","0.05556472001584491","0.04773280744420332","0.049485524919948294","0.036574553244533514"
"Kerachut_20260418","0.06721933135921956","0.06649202074971687","0.053216285677360364","0.06456100808259974","0.055809088638569815","0.07004740679721079","0.01867660549402116","0.03747661761114411","0.009112981790349976","0.026511245918191012","0.05103719705080124","0.016781699707588228","0","0.054672298951431074","0.06323134419410721","0.06951889086779656","0.04467486119850741","0.053397820202371334","0.04400539414627543","0.041250298534490894","0.022918191581158473"
"USM_20260121","0.050141050361006294","0.04812598709734853","0.04913435342616083","0.09250724198169415","0.03683843266385395","0.09041795793514708","0.04325856146924633","0.08044518852325165","0.056190470428047964","0.028042447824240466","0.012361678786325934","0.054392284392174965","0.054672298951431074","0","0.016064668829981945","0.01905944197074584","0.018947584585746743","0.011139296458208894","0.012412934910278905","0.026975672012807105","0.07307328586938591"
"USM_20260122","0.06503746215173638","0.0646685842294304","0.06043881642620959","0.107273646593432","0.05083402430584188","0.10613566386371973","0.05331187118013004","0.09012043141290292","0.06699312219784967","0.044671474178872836","0.012898518485378228","0.061189444007791256","0.06323134419410721","0.016064668829981945","0","0.007401995861091887","0.028356788384337268","0.017816970873516004","0.02294190383595503","0.0363354076665514","0.08663360028546865"
"USM_20260123","0.06774685224881986","0.06751540342394495","0.06536215409541292","0.11076353662936635","0.054116464384706534","0.10903178694954904","0.05757810121425074","0.09664000665794316","0.07291895335605178","0.04648206354635432","0.01908318169749318","0.06542617304182115","0.06951889086779656","0.01905944197074584","0.007401995861091887","0","0.03499070482982648","0.023580339605980452","0.026088057048548777","0.040792485965919764","0.09089090320128107"
"USM_20260124","0.053457121965800866","0.0507440759486029","0.04493920696710699","0.08822201167369527","0.03807906146078085","0.09089160247507017","0.044292604388845025","0.06258003257177377","0.044804389025421706","0.02887438933297193","0.018168562549179177","0.0504589694321264","0.04467486119850741","0.018947584585746743","0.028356788384337268","0.03499070482982648","0","0.016472412289719233","0.011893848091564548","0.022340166003870177","0.06430131799645589"
"USM_20260125","0.0599265415271675","0.05775448485487064","0.054609348251353496","0.09788837595565729","0.044351634866010126","0.1006216950646676","0.05090990707695987","0.07676310752389051","0.053518308760967026","0.037239434354670004","0.015266011339916641","0.05556472001584491","0.053397820202371334","0.011139296458208894","0.017816970873516004","0.023580339605980452","0.016472412289719233","0","0.016619061222617238","0.026073915806948143","0.07308725101624254"
"USM_20260126","0.04699133717239468","0.04449684546275661","0.04152743470928243","0.08377173773914996","0.03279195745715394","0.08471591189553854","0.03690677080897652","0.07107898281980199","0.04799509017658099","0.023454863572065998","0.01387560227633538","0.04773280744420332","0.04400539414627543","0.012412934910278905","0.02294190383595503","0.026088057048548777","0.011893848091564548","0.016619061222617238","0","0.016205051659223677","0.06271166919076201"
"USM_FullMoon_20260401","0.032472587662791014","0.030725442531698278","0.032382258801192075","0.07145962103654543","0.019837396200122537","0.06820964474874275","0.02954743130362847","0.06443581379578166","0.041431869462745886","0.016716451024552322","0.0270485012755321","0.049485524919948294","0.041250298534490894","0.026975672012807105","0.0363354076665514","0.040792485965919764","0.022340166003870177","0.026073915806948143","0.016205051659223677","0","0.053435020500064476"
"USM_FullMoon_20260402","0.062110971314918356","0.059052802052419806","0.0515072238684018","0.049645500863430884","0.05431467777052162","0.06351292777510938","0.033066935692716","0.026988220670651684","0.026688868732252544","0.04680848958279427","0.07630680439299231","0.036574553244533514","0.022918191581158473","0.07307328586938591","0.08663360028546865","0.09089090320128107","0.06430131799645589","0.07308725101624254","0.06271166919076201","0.053435020500064476","0"
